31. C4a. Si oui, lesquelles ?
fluidite des validations electroniques- visio conference
Recours au teletravail et mise place d'audioconference pour certaines reunions.

"Il est prevu dans le PRAP une periode de maintien du teletravail avec un objectif cible global de 80% (soit quatre jours hebdomadaires de teletravail pour une quotite a temps plein). Avant la crise, l'objectif etait d'atteindre un jour de teletravail hebdomadaire, pour certains agents, cette periodicite etait de deux jours, pour une periode limitee et reconductible.
Le nouvel objectif apparait des a present de deux jours hebdomadaires, avec une possibilite de trois jours, voire quatre jours a titre exceptionnel pour une duree limitee. Ces elements ne sont pas encore formalises, mais prennent tournure."

Toutes sauf la validation dematerialisee


"Il faut probablement envisager un mode degrade ou semi permanent d'administration ""hors les murs"" car : 1. des crises comme cella du COVID19 vont sans doute se reproduire - PCA, resilience - 2. c'est une attente de la plupart des salaries desormais"

"accroissement de la part du teletravail
amelioration des outils collaboratifs propres"

"travail a distance pour 1 ou 2 jours dans la semaine
aller vers plus de polyvalence des agents
parachever la dematerialisation des echanges"
L'utilisation d'outils collaboratifs.
Seuls deux agents sur 28 teletravaillaient un jour par semaine. Pratique a etendre probablement a l'avenir pour limiter les deplacements, permettre une meilleure harmonie entre vie personnelle et vie professionnelle... compte tenu de l'efficacite sur le travail lui-meme confirmee par la crise.

Teletravail
"La crise a demontre que certaines fonctions se pretaient mieux au teletravail que nous ne le pensions, nous serons donc plus facilement enclins a l'avenir a accorder une suite favorable aux demandes des agents les exercant.  

De meme certaines reunions presentielles pourraient plus facilement etre remplacees par des telereunions."


Teletravail, visio.

"Le recours a la visioconference etait deja repandu entre les differents sites, mais devrait se developper davantage, y compris pour le teletravail a domicile.
Usage des plateformes collaboratives a developper, y compris pour reduire l'usage de la messagerie."

Teletravail


"Solution de travail collaboratif afin de favoriser le travail a distance 
Extension probable du tele-travail"




"les outils et methodes de travail a distance (modulable) - teletravail une partie du temps
la structuration renforcee  du travail collectif et l'intensification du travail collaboratif
usage des outils de video conference (viseo, zoom)
organisation d'evenements en ligne (webinars, facebook live, etc)"




Le teletravail par ordinateur Itineo, malgre ses limites, ou autre solution de mobilite, sont utiles notamment en cas de crise politique et de blocage des acces a l'enclave diplomatique.




Visioconference
Visio conferences, et teletravail en general (mais encadre) , qui donne plus de flexibilite.
teletravail, visio conferences, groupes whatsapp...

Dans la phase immediatement apres la crise, encouragement au teletravail pour permettre une meilleure distanciation sociale. Pour beaucoup de fonctions en revanche, le probleme de confidentialite dans l'usage de solutions commerciales (Whatsapp, Jitsi notamment) ne permet pas de s'appuyer en temps normal sur ces solutions. Le developpement de plateformes dediees et protegees qui offrent les memes fonctionnalites serait utile, a condition qu'elles offrent la bande passante necessaire. Tchap: limite car faible deploiement au moment de la crise, qui ne permettait pas d'inclure suffisamment de membres des equipes, et qui ne permet pas de passer du mode message au mode voix / conference.
Les mails reguliers, l'usage des Portaleos, l'enrichissement lie a une formation adaptee a l'usage de ces outils, se preparer pour la prochaine crise.
Je pense que la crise demontre que nous pouvons accroitre le teletravail.
pour permettre la flexibilite pour les personnes qui ont des enfants
Accroissement du recours au teletravail.

"L'audio conference est tres bien- elle evite des deplacements et oblige a mieux mesurer l'utilite des reunions
Le teletravail donc l'usage dÕoutils numeriques a distance
La dematerialisation des procedures"
Mise en place d'outils mieux adaptes de definition, de pilotage et de suivi des actions, ainsi que d'indicateurs de gestion affines, simples d'emploi et performants..
"Visio conferences
messagerie instantanee"

Le mode teletravail, un a deux jours par semaine, pourrait etre propose a quelques recrutes locaux (service de presse ou institut francais de Lituanie) qui habitent a une certaine distance de Vilnius.



Conferences telephoniques pour eviter les reunions non-indispensables.


Visioconferences, tantot a trois ou quatre, tantot a une dizaine de participants.


Plus de teletravail, plus de visioconference, plus de dematerialisation des procedures.

Il est evident que certains travaux peuvent etre faits a domicile, y compris pour ecrire des papiers pour l'equipe de la chancellerie par exemple, et des conferences telephoniques organisees. Nous le ferons plus qu'avant.

groupe whattsapp
"Visioconference et conference telephonique que j'utilisais deja avant la crise du covid19. 
Outils informatiques nomades (ordinateur portable Itineo que j'utilise depuis plusieurs annees deja, smarteo, Dphone)."
"dotation systematique en CLIP pour faciliter le teletravail
utilisation reguliere de Tchap
continuer les con call audio au sein de la sous direction
En interministeriel, recourir a la conf tel ou visio cryptee des que possible"
"teletravail plus frequent
audiconference"

Il est probable que nous assouplissions le recours au teletravail (aujourd'hui une journee par semaine maximum en principe), mais la decision devra etre prise lorsque nous serons sorti de l'episode de crise.


t de travail avec les outils collaboratifs - plus de teletravail
mis en place reguliere du teletrvavail
"Teletravail
outils collaboratifs"


Poursuite des echanges professionnels avec whatsapp sur tous les sujets non confidentiels. eviter les deplacements inutiles.
On pourrait recourir plus regulierement au travail a distance.




"Recours plus frequent au teletravail pour ceux qui le peuvent ( deja experimente au cours des greves de decembre) 
Boucles d'information autres que courriels - pour des informations non sensibles-"

"teletravail, moyens d'audio et visioconferences, outils de discussions en ligne du type ""tchap"" ou ""whatsapp"""
Plus d'un dizaine d'agents de la sous-direction beneficiaient deja d'une journee de teletravail auparavant. Le confinement.a prouve que cette pratique peut etre etendue plus largement, en s'assurant toutefois que les outils, notamment manageriaux, sont bien en place.
teletravail

recours plus grand au teletravail, usage plus grand de la visioconference

teletravail et outils qui s'y rattachent.

generaliser le teletravail au moins un jour par semaine

L'augmentation du nombre de teletravailleurs est une option retenue dans les mois qui viennent.

Visioconference, messagerie professionnelle sur le smartphone, pour les agents qui n'en beneficiaient pas et qui ont pu l'obtenir.
webconference, visioconferences
"systematisation des visio et audioconferences en proscrivant tout deplacement pour des reunions en presentiel
Limitation stricte de la duree des reunions a 1 h maximum
maintien d'une partie du personnel en teletravail (deja pratique avant le crise, mais a developper encore car plus efficace pour traiter des dossiers de fond)"
Le teletravail pour des missions qui en etaient exclues (mission budgetaires).


Teletravail a developper
davantage de recours au teletravail, a titre personnel, a etudier
le teletravail
"Recours massif au teletravail (politique majeure de la sous-direction)
Formation  de l'encadrement au management des teletravailleurs"
Nouvelle phase dans le developpement du teletravail, phase pour laquelle j'etais, precedemment hesitant

