11. Messagerie du ministere;12. Messagerie autre (ex: gmail);13. Messagerie instantanee interministerielle (Tchap);14. Messagerie instantanee autre (ex: WhatsApp);15. Visio-conference du ministere;16. Viso-conference interministeriel (WebConf);17. Visio-conference autre (ex: Skype);18. Outils collaboratifs du ministere;19. Outils collaboratifs interministeriels (OSMOSE, PLANO, RESAN;20. Outils collaboratifs autres;21. Audio-conference telephonique
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Tres utile
Tres utile;Utile;Pas utile;Utile;Tres utile;Non utilise;Pas utile;Tres utile;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Tres utile;Tres utile;Utile;Non utilise;Utile;Tres utile;Non utilise;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Tres utile;Non utilise;Inconnu;Non utilise;Utile
Tres utile;Non utilise;Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Utile;Tres utile;Non utilise;Non utilise;Tres utile;Pas utile;Non utilise;Non utilise;Utile
Tres utile;Tres utile;Non utilise;Utile;Utile;Utile;Tres utile;Non utilise;Non utilise;Tres utile;Pas utile
Tres utile;Non utilise;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Utile;Inconnu;Inconnu;Tres utile
Utile;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile;Non utilise;Pas utile;Tres utile;Non utilise;Utile
Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Utile;Tres utile;Tres utile;Utile;Utile;Utile;Inconnu;Utile;Tres utile
Tres utile;Non utilise;Utile;Pas utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Tres utile;Utile;Inconnu;Utile;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Inconnu;Non utilise;Utile
Tres utile;Tres utile;Pas utile;Pas utile;Tres utile;Non utilise;Inconnu;Utile;Utile;Inconnu;Tres utile
Utile;Non utilise;Pas utile;Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Utile;Utile;Non utilise;Utile;Utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Tres utile;Utile;Pas utile;Pas utile;Tres utile;Tres utile;Utile;Pas utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Tres utile;Tres utile;Tres utile;Utile;Utile;Pas utile;Non utilise;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Tres utile;Inconnu;Tres utile;Tres utile;Non utilise;Tres utile;Tres utile
Tres utile;Utile;Tres utile;Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Utile;Utile;Utile;Utile;Tres utile;Utile;Tres utile;Pas utile;Tres utile
Tres utile;Non utilise;Utile;Tres utile;Utile;Non utilise;Utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Tres utile;Utile;Utile;Utile;Non utilise;Tres utile
