11. Messagerie du ministere;12. Messagerie autre (ex: gmail);13. Messagerie instantanee interministerielle (Tchap);14. Messagerie instantanee autre (ex: WhatsApp);15. Visio-conference du ministere;16. Viso-conference interministeriel (WebConf);17. Visio-conference autre (ex: Skype);18. Outils collaboratifs du ministere;19. Outils collaboratifs interministeriels (OSMOSE, PLANO, RESAN;20. Outils collaboratifs autres;21. Audio-conference telephonique
Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Utile
Tres utile;Non utilise;Pas utile;Tres utile;Utile;Utile;Non utilise;Utile;Inconnu;Utile;Utile
Pas utile;Non utilise;Non utilise;Utile;Tres utile;Tres utile;Non utilise;Inconnu;Non utilise;Inconnu;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Utile;Pas utile;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Tres utile
Tres utile;Pas utile;Pas utile;Pas utile;Tres utile;Pas utile;Pas utile;Pas utile;Inconnu;Pas utile;Pas utile
Tres utile;Inconnu;Non utilise;Non utilise;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Inconnu;Tres utile;Non utilise;Inconnu;Inconnu;Tres utile
Tres utile;Tres utile;Utile;Utile;Tres utile;Utile;Utile;Tres utile;Utile;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Utile;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Utile;Utile;Pas utile;Utile;Utile;Utile;Utile;Tres utile;Utile;Tres utile
Utile;Non utilise;Pas utile;Utile;Non utilise;Non utilise;Tres utile;Pas utile;Non utilise;Tres utile;Tres utile
Utile;Utile;Non utilise;Utile;Utile;Utile;Utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Inconnu;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Tres utile
Tres utile;Tres utile;Inconnu;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Utile;Tres utile;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Non utilise
Tres utile;Utile;Tres utile;Utile;Tres utile;Utile;Utile;Utile;Tres utile;Inconnu;Tres utile
Utile;Pas utile;Pas utile;Utile;Utile;Non utilise;Non utilise;Non utilise;Utile;Inconnu;Non utilise
Tres utile;Utile;Non utilise;Non utilise;Non utilise;Pas utile;Utile;Tres utile;Pas utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Tres utile
Utile;Utile;Non utilise;Utile;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Utile
Tres utile;Non utilise;Pas utile;Tres utile;Pas utile;Pas utile;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise
Tres utile;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Tres utile
Non utilise;Non utilise;Utile;Non utilise;Tres utile;Tres utile;Tres utile;Utile;Tres utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Tres utile;Non utilise;Utile;Tres utile;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Pas utile;Tres utile;Tres utile;Pas utile;Tres utile;Tres utile
Utile;Tres utile;Inconnu;Tres utile;Pas utile;Non utilise;Tres utile;Non utilise;Utile;Inconnu;Utile
Tres utile;Non utilise;Pas utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Non utilise;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise
Utile;Tres utile;Inconnu;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Tres utile;Inconnu;Inconnu
Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Utile;Non utilise;Utile;Utile;Non utilise;Utile;Utile;Inconnu;Utile;Utile
Non utilise;Tres utile;Inconnu;Utile;Tres utile;Inconnu;Utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Pas utile;Inconnu;Non utilise;Tres utile
Tres utile;Utile;Utile;Non utilise;Tres utile;Non utilise;Tres utile;Tres utile;Non utilise;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Pas utile;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Inconnu;Tres utile;Inconnu;Utile;Utile;Utile;Tres utile;Inconnu;Tres utile
Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Pas utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Pas utile;Utile;Utile;Pas utile;Non utilise;Utile;Inconnu;Inconnu;Tres utile
Tres utile;Pas utile;Non utilise;Utile;Utile;Non utilise;Utile;Non utilise;Inconnu;Utile;Utile
Non utilise;Tres utile;Inconnu;Tres utile;Non utilise;Non utilise;Utile;Inconnu;Utile;Inconnu;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile
Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Non utilise;Inconnu;Non utilise;Inconnu;Tres utile
Tres utile;Pas utile;Pas utile;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Tres utile;Inconnu;Tres utile
Non utilise;Tres utile;Inconnu;Non utilise;Inconnu;Inconnu;Utile;Non utilise;Pas utile;Non utilise;Non utilise
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Non utilise;Tres utile
Non utilise;Utile;Non utilise;Utile;Utile;Utile;Non utilise;Utile;Non utilise;Utile;Utile
Tres utile;Tres utile;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Utile;Tres utile;Non utilise;Non utilise
Utile;Pas utile;Non utilise;Non utilise;Utile;Non utilise;Tres utile;Utile;Tres utile;Utile;Tres utile
Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu
Utile;Tres utile;Pas utile;Tres utile;Utile;Pas utile;Tres utile;Utile;Tres utile;Tres utile;Utile
Tres utile;Utile;Utile;Non utilise;Utile;Pas utile;Pas utile;Tres utile;Non utilise;Utile;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile;Utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Tres utile;Non utilise;Utile;Tres utile
Non utilise;Tres utile;Inconnu;Non utilise;Tres utile;Non utilise;Non utilise;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile;Tres utile;Utile;Inconnu;Utile;Utile
Tres utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Inconnu;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Inconnu;Inconnu;Inconnu;Non utilise
Utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Utile;Utile;Inconnu;Inconnu;Utile
Utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Pas utile;Pas utile;Pas utile;Inconnu;Utile;Pas utile;Inconnu;Utile;Utile;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Pas utile;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Pas utile;Pas utile;Tres utile;Non utilise;Inconnu;Non utilise;Non utilise
Tres utile;Non utilise;Tres utile;Non utilise;Tres utile;Pas utile;Non utilise;Tres utile;Pas utile;Utile;Utile
Non utilise;Tres utile;Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Inconnu;Utile
Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Utile;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Inconnu;Non utilise;Utile;Non utilise;Utile;Utile;Tres utile;Utile;Tres utile
Tres utile;Pas utile;Pas utile;Pas utile;Utile;Utile;Utile;Inconnu;Inconnu;Inconnu;Tres utile
Utile;Pas utile;Non utilise;Tres utile;Utile;Inconnu;Non utilise;Inconnu;Inconnu;Inconnu;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Utile;Non utilise;Tres utile;Tres utile
Non utilise;Pas utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Utile;Utile;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Non utilise;Inconnu;Non utilise;Utile
Tres utile;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Utile;Non utilise;Tres utile;Non utilise;Inconnu
Tres utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Utile;Utile;Non utilise;Utile;Non utilise
Utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Utile
Tres utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Utile;Utile;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Tres utile;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Inconnu;Tres utile
Pas utile;Tres utile;Tres utile;Utile;Utile;Utile;Non utilise;Utile;Tres utile;Tres utile;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Pas utile;Pas utile;Utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise
Non utilise;Tres utile;Non utilise;Tres utile;Non utilise;Inconnu;Tres utile;Utile;Inconnu;Tres utile;Utile
Tres utile;Utile;Inconnu;Utile;Non utilise;Pas utile;Utile;Tres utile;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Tres utile;Utile;Inconnu;Inconnu;Tres utile
Tres utile;Utile;Non utilise;Non utilise;Pas utile;Pas utile;Utile;Utile;Pas utile;Inconnu;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Tres utile;Non utilise;Utile;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Tres utile;Non utilise;Tres utile;Utile;Inconnu;Utile;Tres utile
Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile
Tres utile;Pas utile;Non utilise;Non utilise;Tres utile;Utile;Tres utile;Utile;Non utilise;Non utilise;Utile
Tres utile;Tres utile;Pas utile;Tres utile;Pas utile;Non utilise;Pas utile;Utile;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Utile;Inconnu;Inconnu;Utile
Tres utile;Utile;Utile;Inconnu;Tres utile;Utile;Inconnu;Pas utile;Inconnu;Inconnu;Non utilise
Tres utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Utile;Pas utile;Utile;Non utilise;Inconnu;Inconnu;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Inconnu;Inconnu;Inconnu;Pas utile;Non utilise;Non utilise;Inconnu;Pas utile;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile;Inconnu;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Utile;Utile;Utile;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Non utilise
Tres utile;Non utilise;Pas utile;Utile;Utile;Non utilise;Utile;Utile;Inconnu;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Tres utile;Non utilise;Tres utile;Utile;Non utilise;Pas utile;Utile
Tres utile;Utile;Non utilise;Utile;Utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise
Tres utile;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Tres utile;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Utile;Tres utile;Tres utile;Tres utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Pas utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Tres utile
Tres utile;Utile;Pas utile;Utile;Utile;Inconnu;Tres utile;Utile;Inconnu;Inconnu;Tres utile
Tres utile;Utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Non utilise;Tres utile
Tres utile;Non utilise;Tres utile;Utile;Tres utile;Pas utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Non utilise;Utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Utile;Utile
Non utilise;Utile;Inconnu;Utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Utile;Pas utile;Tres utile;Tres utile;Pas utile;Tres utile;Tres utile;Non utilise;Utile;Tres utile
Non utilise;Utile;Utile;Utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Utile
Utile;Utile;Non utilise;Non utilise;Pas utile;Inconnu;Non utilise;Inconnu;Inconnu;Inconnu;Non utilise
Tres utile;Inconnu;Inconnu;Tres utile;Tres utile;Non utilise;Tres utile;Utile;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Pas utile;Pas utile;Non utilise;Non utilise;Tres utile;Utile;Inconnu;Inconnu;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Tres utile;Utile;Inconnu;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Inconnu;Inconnu;Tres utile;Tres utile;Inconnu;Tres utile;Tres utile
Tres utile;Utile;Utile;Utile;Utile;Non utilise;Utile;Utile;Non utilise;Utile;Tres utile
Tres utile;Non utilise;Inconnu;Tres utile;Tres utile;Inconnu;Tres utile;Non utilise;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Inconnu;Non utilise;Inconnu;Inconnu;Tres utile;Non utilise;Inconnu;Tres utile;Non utilise
Pas utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Inconnu;Non utilise;Tres utile
Non utilise;Tres utile;Inconnu;Pas utile;Non utilise;Non utilise;Utile;Non utilise;Pas utile;Utile;Non utilise
Tres utile;Non utilise;Inconnu;Utile;Inconnu;Non utilise;Tres utile;Non utilise;Inconnu;Utile;Utile
Utile;Non utilise;Pas utile;Utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile;Inconnu;Inconnu;Utile
Tres utile;Pas utile;Pas utile;Utile;Pas utile;Pas utile;Tres utile;Pas utile;Utile;Pas utile;Tres utile
Tres utile;Non utilise;Inconnu;Tres utile;Tres utile;Inconnu;Tres utile;Tres utile;Inconnu;Non utilise;Tres utile
Non utilise;Non utilise;Inconnu;Tres utile;Non utilise;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Pas utile
Inconnu;Tres utile;Inconnu;Utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Utile
Tres utile;Pas utile;Utile;Non utilise;Tres utile;Pas utile;Tres utile;Utile;Non utilise;Inconnu;Inconnu
Pas utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Utile;Tres utile;Non utilise;Non utilise;Utile;Pas utile;Non utilise;Utile;Tres utile
Utile;Tres utile;Inconnu;Tres utile;Inconnu;Inconnu;Non utilise;Pas utile;Non utilise;Utile;Inconnu
Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Tres utile
Non utilise;Non utilise;Non utilise;Utile;Inconnu;Inconnu;Non utilise;Inconnu;Inconnu;Utile;Non utilise
Tres utile;Tres utile;Non utilise;Utile;Utile;Non utilise;Utile;Non utilise;Utile;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Utile;Pas utile;Pas utile;Tres utile;Pas utile;Non utilise;Non utilise;Tres utile
Inconnu;Utile;Inconnu;Pas utile;Inconnu;Inconnu;Non utilise;Inconnu;Pas utile;Non utilise;Non utilise
Inconnu;Tres utile;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Tres utile
Tres utile;Utile;Utile;Tres utile;Tres utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Utile;Non utilise;Tres utile
Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Tres utile
Utile;Utile;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Utile;Inconnu;Inconnu
Utile;Tres utile;Non utilise;Tres utile;Tres utile;Non utilise;Tres utile;Utile;Tres utile;Tres utile;Utile
Tres utile;Tres utile;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Inconnu;Inconnu;Non utilise;Non utilise
Utile;Non utilise;Non utilise;Non utilise;Non utilise;Pas utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Tres utile
Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Utile;Inconnu;Inconnu;Non utilise;Non utilise
Tres utile;Tres utile;Non utilise;Tres utile;Inconnu;Inconnu;Tres utile;Non utilise;Inconnu;Tres utile;Utile
Tres utile;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Inconnu;Utile
Tres utile;Pas utile;Pas utile;Tres utile;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Non utilise;Tres utile
Tres utile;Non utilise;Pas utile;Utile;Inconnu;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Utile;Inconnu;Inconnu;Utile;Inconnu;Utile;Inconnu;Tres utile
Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Inconnu;Pas utile;Tres utile;Inconnu;Pas utile;Pas utile;Tres utile
Tres utile;Non utilise;Utile;Utile;Inconnu;Tres utile;Utile;Utile;Utile;Utile;Utile
Tres utile;Tres utile;Inconnu;Pas utile;Inconnu;Inconnu;Pas utile;Inconnu;Tres utile;Inconnu;Inconnu
Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Inconnu;Utile
Tres utile;Tres utile;Pas utile;Tres utile;Pas utile;Pas utile;Pas utile;Utile;Non utilise;Tres utile;Pas utile
Tres utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Utile;Non utilise;Utile;Tres utile;Non utilise;Pas utile
Tres utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Utile;Inconnu;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Tres utile
Inconnu;Tres utile;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu
Pas utile;Tres utile;Pas utile;Pas utile;Inconnu;Inconnu;Tres utile;Utile;Inconnu;Utile;Non utilise
Tres utile;Inconnu;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Inconnu;Inconnu;Utile
Tres utile;Utile;Non utilise;Pas utile;Tres utile;Non utilise;Tres utile;Utile;Tres utile;Non utilise;Utile
Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Utile
Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Utile;Non utilise;Tres utile;Utile;Non utilise;Utile;Utile;Inconnu;Non utilise;Utile
Tres utile;Utile;Utile;Utile;Utile;Utile;Utile;Utile;Utile;Utile;Tres utile
Tres utile;Tres utile;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Non utilise
Tres utile;Tres utile;Utile;Utile;Utile;Utile;Pas utile;Utile;Inconnu;Non utilise;Tres utile
Tres utile;Tres utile;Pas utile;Tres utile;Tres utile;Tres utile;Tres utile;Non utilise;Tres utile;Tres utile;Non utilise
Tres utile;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Non utilise
Utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile
Utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Utile;Non utilise;Non utilise
Tres utile;Utile;Pas utile;Pas utile;Tres utile;Utile;Tres utile;Tres utile;Inconnu;Pas utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Utile;Tres utile;Non utilise;Utile;Tres utile
Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Utile;Utile
Tres utile;Non utilise;Utile;Utile;Non utilise;Non utilise;Utile;Utile;Utile;Non utilise;Tres utile
Tres utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Non utilise;Tres utile;Pas utile;Tres utile;Inconnu;Pas utile;Tres utile;Inconnu;Inconnu;Inconnu;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Non utilise
Tres utile;Non utilise;Utile;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Utile
Tres utile;Non utilise;Tres utile;Pas utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Pas utile;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Pas utile;Non utilise;Non utilise;Tres utile;Non utilise;Pas utile;Utile;Tres utile
Tres utile;Non utilise;Pas utile;Tres utile;Inconnu;Non utilise;Tres utile;Utile;Inconnu;Utile;Utile
Tres utile;Inconnu;Tres utile;Tres utile;Tres utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile
Utile;Utile;Pas utile;Utile;Non utilise;Non utilise;Utile;Utile;Non utilise;Utile;Utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Inconnu;Non utilise;Inconnu;Non utilise;Utile;Inconnu;Inconnu;Inconnu;Non utilise
Tres utile;Utile;Pas utile;Pas utile;Tres utile;Tres utile;Pas utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Pas utile;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Inconnu;Utile;Non utilise;Utile;Pas utile;Utile;Inconnu;Utile;Tres utile
Tres utile;Tres utile;Pas utile;Tres utile;Pas utile;Tres utile;Non utilise;Tres utile;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Utile;Utile;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu;Inconnu;Tres utile
Utile;Non utilise;Pas utile;Utile;Tres utile;Non utilise;Non utilise;Utile;Inconnu;Utile;Tres utile
Tres utile;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Tres utile
